epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1233,4.63874,18.0924,4.26276,0,0,0,0,5.55521,16.5547,4.16048,0.0032963,0.0032963,0.0032963
2,53.0466,4.45936,14.4765,4.28273,0,0,0,0,5.44492,121.044,4.6895,0.00662307,0.00662307,0.00662307
3,77.3412,4.62359,13.0855,4.25858,2e-05,0.00741,1e-05,1e-05,5.41102,35.7641,5.131,0.00994324,0.00994324,0.00994324
4,101.168,4.53322,10.9497,4.21453,1e-05,0.01111,1e-05,1e-05,5.14798,6.72479,5.98326,0.0099703,0.0099703,0.0099703
5,124.382,4.43783,8.10853,4.12529,1e-05,0.01111,1e-05,1e-05,4.68037,4.57211,4.71979,0.0099604,0.0099604,0.0099604
6,147.475,4.31802,5.78584,3.91106,0.02778,0.03672,0.01947,0.00399,4.71529,4.49748,3.41936,0.0099505,0.0099505,0.0099505
7,171.131,4.14836,5.25009,3.67275,0.00094,0.08332,0.0006,0.00019,nan,nan,nan,0.0099406,0.0099406,0.0099406
8,194.35,3.99315,5.11246,3.46427,0.00098,0.12093,0.00279,0.00079,4.31132,4.38851,2.95355,0.0099307,0.0099307,0.0099307
9,217.62,3.80582,5.01573,3.30109,0.69142,0.05932,0.01752,0.00361,4.07496,4.22061,2.81182,0.0099208,0.0099208,0.0099208
10,240.916,3.76788,4.96042,3.14929,0.84565,0.00282,0.00746,0.00186,3.97559,4.22766,3.11392,0.0099109,0.0099109,0.0099109
11,264.009,3.60284,4.86025,3.11029,0.71712,0.02542,0.02519,0.00889,3.89845,4.13744,2.59255,0.009901,0.009901,0.009901
12,287.125,3.63825,4.94495,3.03191,0.85613,0.04802,0.01376,0.0028,3.85963,4.09241,2.60484,0.0098911,0.0098911,0.0098911
13,310.268,3.57676,4.83143,2.94192,0.50624,0.05932,0.01183,0.00389,3.95244,4.19634,2.60969,0.0098812,0.0098812,0.0098812
14,333.375,3.58477,4.88155,2.99185,0.85609,0.00847,0.0057,0.00128,3.88615,4.46931,2.65414,0.0098713,0.0098713,0.0098713
15,356.491,3.51459,4.86438,2.93342,0.86999,0.0226,0.03202,0.01083,3.7821,4.09342,2.48646,0.0098614,0.0098614,0.0098614
16,379.611,3.48253,4.80885,2.9176,0.8514,0.02825,0.00966,0.00233,3.73321,4.02246,2.4551,0.0098515,0.0098515,0.0098515
17,402.741,3.44877,4.82162,2.88949,0.87916,0.06428,0.04067,0.01017,3.65669,4.00984,2.44449,0.0098416,0.0098416,0.0098416
18,425.822,3.36755,4.75775,2.84975,0.00532,0.24389,0.02542,0.00706,3.6435,4.07631,2.45622,0.0098317,0.0098317,0.0098317
19,448.952,3.37158,4.70978,2.84024,0.74914,0.08686,0.05058,0.01578,3.53316,3.79174,2.33169,0.0098218,0.0098218,0.0098218
20,472.035,3.35828,4.71894,2.89373,0.7462,0.06426,0.03902,0.01231,3.54127,3.89421,2.40031,0.0098119,0.0098119,0.0098119
21,495.149,3.32629,4.69714,2.81504,0.70442,0.02825,0.0216,0.00712,3.58606,4.00485,2.36558,0.009802,0.009802,0.009802
22,518.267,3.30534,4.64913,2.7999,0.70572,0.07345,0.04128,0.01172,3.54856,3.73988,2.3191,0.0097921,0.0097921,0.0097921
23,541.43,3.23498,4.579,2.76654,0.53287,0.08475,0.03928,0.01277,3.4554,3.67833,2.30352,0.0097822,0.0097822,0.0097822
24,564.556,3.2192,4.49992,2.74949,0.72554,0.0648,0.05238,0.01731,3.40824,3.76007,2.2648,0.0097723,0.0097723,0.0097723
