epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,612.743,3.23332,4.84131,2.5631,0.00236,0.32809,0.00788,0.00242,3.61419,4.17341,2.28897,0.0095941,0.0095941,0.0095941
43,627.149,3.2217,4.77271,2.58822,0.68086,0.0452,0.01345,0.00387,3.6873,4.10921,2.29975,0.0095842,0.0095842,0.0095842
44,641.543,3.2473,4.81129,2.56429,0.00062,0.20879,0.01153,0.00318,3.62255,4.16718,2.34259,0.0095743,0.0095743,0.0095743
45,655.915,3.17193,4.68778,2.55132,0.86108,0.10452,0.02548,0.00756,3.63583,4.00981,2.26092,0.0095644,0.0095644,0.0095644
46,670.362,3.14912,4.63757,2.55646,0.68277,0.11017,0.01865,0.00555,3.61802,4.01934,2.28744,0.0095545,0.0095545,0.0095545
47,684.749,3.14381,4.66379,2.57132,0.85331,0.05923,0.01967,0.00566,3.57381,3.99507,2.27787,0.0095446,0.0095446,0.0095446
48,699.114,3.16716,4.74515,2.59497,0.84493,0.02471,0.01503,0.00357,3.61212,4.22484,2.26011,0.0095347,0.0095347,0.0095347
49,713.498,3.14173,4.68818,2.55019,0.85822,0.07339,0.01833,0.00493,3.57259,3.9943,2.23141,0.0095248,0.0095248,0.0095248
50,727.906,3.18292,4.64261,2.52538,0.86434,0.0339,0.03176,0.00877,3.54516,3.9274,2.23046,0.0095149,0.0095149,0.0095149
51,742.319,3.0675,4.53988,2.51986,0.52339,0.11299,0.0244,0.00752,3.46559,4.08481,2.267,0.009505,0.009505,0.009505
52,756.745,3.06674,4.56614,2.5158,0.88345,0.05367,0.05226,0.01601,3.40999,3.74986,2.20581,0.0094951,0.0094951,0.0094951
53,771.165,3.05467,4.51901,2.50057,0.87695,0.06497,0.04388,0.01238,3.38956,4.03282,2.16479,0.0094852,0.0094852,0.0094852
54,785.565,3.0256,4.52133,2.50927,0.86535,0.12147,0.03853,0.01098,3.34712,3.70354,2.13527,0.0094753,0.0094753,0.0094753
55,800.063,3.06881,4.47839,2.44983,0.69309,0.11864,0.02836,0.00866,3.40283,3.81351,2.16369,0.0094654,0.0094654,0.0094654
56,814.423,3.02779,4.53534,2.49255,0.00349,0.30547,0.03189,0.01058,3.37695,3.8988,2.14015,0.0094555,0.0094555,0.0094555
57,828.778,3.00069,4.48716,2.47313,0.87873,0.11634,0.0531,0.01757,3.34721,3.73842,2.13056,0.0094456,0.0094456,0.0094456
58,843.206,2.97084,4.46331,2.41466,0.89161,0.10169,0.06829,0.02376,3.31887,3.75333,2.13506,0.0094357,0.0094357,0.0094357
59,857.7,2.96718,4.42134,2.47676,0.87005,0.13277,0.03965,0.01379,3.30514,3.68983,2.13497,0.0094258,0.0094258,0.0094258
60,872.613,2.96161,4.37104,2.40626,0.57136,0.13556,0.06356,0.0186,3.29235,3.60259,2.11546,0.0094159,0.0094159,0.0094159
61,887.406,2.95304,4.41939,2.46763,0.72181,0.11754,0.06214,0.02333,3.18657,3.54494,2.07936,0.009406,0.009406,0.009406
62,902.139,2.89915,4.34638,2.43327,0.73543,0.10452,0.08099,0.02458,3.20563,3.46075,2.10017,0.0093961,0.0093961,0.0093961
63,916.793,2.88174,4.28006,2.42319,0.90526,0.11017,0.08102,0.0267,3.22231,3.63746,2.11594,0.0093862,0.0093862,0.0093862
64,931.399,2.8685,4.32176,2.43019,0.89466,0.11017,0.07313,0.02261,3.1718,3.60813,2.10989,0.0093763,0.0093763,0.0093763
65,945.734,2.87838,4.2833,2.36953,0.93162,0.10734,0.10924,0.03816,3.20651,3.5463,2.10591,0.0093664,0.0093664,0.0093664
66,960.191,2.84498,4.26576,2.38421,0.91917,0.10734,0.10542,0.04103,3.14001,3.54473,2.08266,0.0093565,0.0093565,0.0093565
67,974.971,2.8979,4.20575,2.42653,0.90648,0.12147,0.1049,0.03854,3.09399,3.37414,2.03436,0.0093466,0.0093466,0.0093466
68,989.43,2.84905,4.16774,2.37616,0.57192,0.13011,0.11117,0.03922,3.08323,3.43573,2.0142,0.0093367,0.0093367,0.0093367
69,1003.79,2.84782,4.08804,2.33349,0.51425,0.14774,0.1105,0.04273,3.0928,3.3963,2.05005,0.0093268,0.0093268,0.0093268
70,1018.16,2.82605,4.10271,2.34231,0.7838,0.11692,0.10385,0.03571,3.17003,3.46949,2.06926,0.0093169,0.0093169,0.0093169
71,1032.5,2.91826,4.19801,2.37979,0.75012,0.11017,0.09746,0.03946,3.10378,3.38848,2.09121,0.009307,0.009307,0.009307
72,1047.05,2.86029,4.02007,2.33292,0.74715,0.11864,0.11951,0.04315,3.10336,3.35362,2.0815,0.0092971,0.0092971,0.0092971
73,1061.71,2.84087,4.08384,2.32757,0.93183,0.10169,0.11233,0.04227,3.1585,3.44987,2.0641,0.0092872,0.0092872,0.0092872
74,1076.07,2.83587,3.98165,2.32593,0.52983,0.1227,0.12371,0.04685,3.14338,3.40794,2.05267,0.0092773,0.0092773,0.0092773
75,1090.46,2.82236,4.03084,2.28492,0.63588,0.12921,0.12815,0.04941,3.11424,3.25199,2.04583,0.0092674,0.0092674,0.0092674
76,1104.89,2.81623,3.90387,2.27188,0.65494,0.13488,0.13477,0.05376,3.16071,3.28775,2.06568,0.0092575,0.0092575,0.0092575
77,1119.27,2.80126,3.84676,2.29875,0.90524,0.14206,0.14386,0.05271,3.12629,3.30145,2.04981,0.0092476,0.0092476,0.0092476
78,1133.7,2.75919,3.82585,2.27433,0.71497,0.11678,0.12558,0.04859,3.07183,3.23995,2.03277,0.0092377,0.0092377,0.0092377
79,1148.15,2.81736,3.88509,2.29175,0.76542,0.14016,0.10409,0.03649,3.15239,3.29211,2.03575,0.0092278,0.0092278,0.0092278
80,1162.54,2.80947,3.8662,2.29759,0.57153,0.11266,0.11371,0.0405,3.14832,3.34702,2.04467,0.0092179,0.0092179,0.0092179
81,1176.85,2.79993,3.87622,2.26927,0.45581,0.15048,0.12761,0.05,3.10964,3.32292,2.02079,0.009208,0.009208,0.009208
82,1191.21,2.81673,3.85182,2.26043,0.60494,0.16303,0.13742,0.044,3.0646,3.45648,2.03696,0.0091981,0.0091981,0.0091981
83,1205.57,2.77614,3.77585,2.30401,0.72598,0.13812,0.15803,0.0523,3.05769,3.21547,1.99576,0.0091882,0.0091882,0.0091882
84,1219.91,2.77886,3.76788,2.26124,0.75807,0.13569,0.16517,0.05615,3.09677,3.21177,2.04691,0.0091783,0.0091783,0.0091783
85,1234.37,2.79236,3.73374,2.26367,0.77225,0.13124,0.16606,0.05072,3.12162,3.20635,2.03822,0.0091684,0.0091684,0.0091684
86,1248.83,2.78886,3.75008,2.32478,0.2985,0.21364,0.14509,0.0465,3.18087,3.28099,2.03834,0.0091585,0.0091585,0.0091585
87,1263.24,2.77535,3.67988,2.24977,0.32981,0.2153,0.13954,0.0523,3.12582,3.21386,2.0248,0.0091486,0.0091486,0.0091486
88,1277.61,2.78463,3.67749,2.26203,0.35518,0.21424,0.16165,0.05699,3.14246,3.28476,2.01869,0.0091387,0.0091387,0.0091387
89,1292.01,2.73622,3.64068,2.28444,0.83869,0.12268,0.14226,0.04707,3.03882,3.1709,2.01051,0.0091288,0.0091288,0.0091288
90,1306.45,2.70469,3.55561,2.22478,0.65491,0.12247,0.12539,0.04536,3.03842,3.1635,2.01581,0.0091189,0.0091189,0.0091189
91,1320.89,2.71353,3.52857,2.21426,0.51267,0.16544,0.15169,0.05799,3.07934,3.32294,2.01063,0.009109,0.009109,0.009109
92,1335.27,2.73651,3.61085,2.23209,0.31775,0.20985,0.15129,0.05711,3.01245,3.19398,1.98921,0.0090991,0.0090991,0.0090991
93,1349.65,2.81816,3.65143,2.24942,0.88504,0.12505,0.14911,0.05442,3.04102,3.22177,1.99137,0.0090892,0.0090892,0.0090892
94,1364.17,2.75764,3.60519,2.23492,0.2832,0.19191,0.1441,0.05457,3.06173,3.19243,2.00096,0.0090793,0.0090793,0.0090793
95,1378.91,2.72925,3.53893,2.26533,0.33766,0.243,0.16544,0.06188,2.99562,3.19141,1.98893,0.0090694,0.0090694,0.0090694
96,1393.33,2.74186,3.52603,2.24114,0.28305,0.21817,0.15244,0.05147,3.04229,3.13732,1.994,0.0090595,0.0090595,0.0090595
97,1407.67,2.73514,3.53961,2.19389,0.29464,0.27003,0.17074,0.06003,3.04822,3.17487,1.97493,0.0090496,0.0090496,0.0090496
98,1422.09,2.73972,3.55827,2.22646,0.30749,0.21864,0.16795,0.05836,2.97932,3.13757,1.97236,0.0090397,0.0090397,0.0090397
99,1436.49,2.71383,3.50693,2.21098,0.28701,0.20714,0.16216,0.05595,2.99539,3.31801,1.96893,0.0090298,0.0090298,0.0090298
100,1450.85,2.74333,3.53665,2.21008,0.7444,0.13322,0.16767,0.06173,3.02389,3.12977,2.00342,0.0090199,0.0090199,0.0090199
101,1465.23,2.66806,3.49877,2.21396,0.31474,0.1701,0.16298,0.06419,2.98858,3.14894,1.95285,0.00901,0.00901,0.00901
102,1479.62,2.69501,3.45699,2.20948,0.86293,0.14088,0.16992,0.06486,2.9812,3.15964,1.95909,0.0090001,0.0090001,0.0090001
103,1493.99,2.68744,3.41744,2.20715,0.48249,0.21122,0.17098,0.06654,3.01348,3.13888,1.99017,0.0089902,0.0089902,0.0089902
104,1508.37,2.68227,3.47765,2.24715,0.69702,0.1439,0.16511,0.06575,2.99131,3.17978,1.95904,0.0089803,0.0089803,0.0089803
105,1522.76,2.67731,3.42906,2.25202,0.37579,0.18695,0.18797,0.06874,3.03082,3.41839,2.00657,0.0089704,0.0089704,0.0089704
106,1537.09,2.67402,3.42044,2.2191,0.50922,0.15108,0.16116,0.05313,3.00684,3.12718,1.9529,0.0089605,0.0089605,0.0089605
107,1551.37,2.62495,3.34944,2.18586,0.32423,0.20183,0.16436,0.05996,3.00628,3.15967,1.97904,0.0089506,0.0089506,0.0089506
108,1565.82,2.70457,3.36596,2.18381,0.30995,0.27789,0.17886,0.06153,2.96285,3.1337,1.97876,0.0089407,0.0089407,0.0089407
109,1580.23,2.70789,3.43486,2.22718,0.54153,0.26229,0.19671,0.06759,2.9889,3.16785,2.00222,0.0089308,0.0089308,0.0089308
110,1594.69,2.62057,3.32069,2.17742,0.31879,0.21573,0.19689,0.07442,2.94299,3.04078,1.93813,0.0089209,0.0089209,0.0089209
111,1609.12,2.66734,3.33908,2.15481,0.33704,0.23703,0.16881,0.05856,2.98846,3.1599,1.9701,0.008911,0.008911,0.008911
112,1623.53,2.65152,3.38249,2.16441,0.40317,0.20046,0.19484,0.06942,2.97355,3.11259,1.96879,0.0089011,0.0089011,0.0089011
113,1637.89,2.59715,3.27213,2.14541,0.89708,0.14869,0.17385,0.06068,3.00433,3.07753,1.97576,0.0088912,0.0088912,0.0088912
114,1652.26,2.63728,3.32857,2.17302,0.28442,0.25301,0.15889,0.05928,2.96391,3.28207,1.97762,0.0088813,0.0088813,0.0088813
115,1666.66,2.63642,3.28215,2.15481,0.73653,0.14386,0.17363,0.06514,2.94327,3.17469,1.96906,0.0088714,0.0088714,0.0088714
116,1681.05,2.65464,3.33651,2.16978,0.31823,0.23544,0.17154,0.05978,2.97856,3.13307,1.95636,0.0088615,0.0088615,0.0088615
117,1695.4,2.6132,3.21593,2.12133,0.36586,0.22003,0.17131,0.06363,2.95768,3.09182,1.95809,0.0088516,0.0088516,0.0088516
118,1709.77,2.59513,3.28067,2.11816,0.33767,0.2626,0.18756,0.07584,2.93309,3.14745,1.94577,0.0088417,0.0088417,0.0088417
119,1724.16,2.56443,3.24932,2.13972,0.52439,0.18332,0.18104,0.06628,2.979,3.09015,1.94189,0.0088318,0.0088318,0.0088318
120,1738.55,2.61272,3.20632,2.11249,0.33027,0.24303,0.20037,0.0696,2.94973,3.04768,1.97322,0.0088219,0.0088219,0.0088219
121,1752.9,2.61142,3.27729,2.14796,0.14576,0.25023,0.16777,0.0627,2.96273,3.01051,1.98518,0.008812,0.008812,0.008812
122,1767.33,2.56729,3.27239,2.12679,0.34278,0.26272,0.1856,0.06664,3.02338,3.08146,1.96133,0.0088021,0.0088021,0.0088021
123,1781.71,2.57248,3.17906,2.10435,0.40307,0.24726,0.18632,0.06504,2.95588,3.02992,1.91242,0.0087922,0.0087922,0.0087922
124,1796.05,2.55035,3.15423,2.1288,0.32393,0.23886,0.18897,0.07195,2.9243,2.9957,1.9425,0.0087823,0.0087823,0.0087823
125,1810.47,2.57909,3.18162,2.08727,0.31527,0.32976,0.18213,0.0641,2.95862,3.07818,1.94929,0.0087724,0.0087724,0.0087724
126,1824.85,2.55618,3.16254,2.09894,0.37828,0.2535,0.18546,0.06592,2.90544,3.14512,1.9422,0.0087625,0.0087625,0.0087625
127,1839.2,2.55885,3.15783,2.08347,0.36467,0.25243,0.20336,0.06998,2.94808,3.0962,1.93016,0.0087526,0.0087526,0.0087526
128,1853.6,2.52491,3.13769,2.08561,0.16778,0.28256,0.19639,0.07288,2.89481,2.95605,1.91218,0.0087427,0.0087427,0.0087427
